consom,breakdown,currency,geo\time	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
4161901,DP_ES,PPS,BE	0.0987 	0.1008 	0.1186 	0.1165 	0.1169 	0.1137 	0.1782 	0.1109 
4161901,DP_ES,PPS,BG	0.1231 	0.0922 	0.1037 	0.0882 	0.1096 	0.0995 	0.0981 	0.0900 
4161901,DP_ES,PPS,CY	0.1978 	0.2081 	0.2499 	0.2046 	0.1701 	: 	: 	: 
4161901,DP_ES,PPS,CZ	0.1275 	0.1421 	0.1466 	0.1323 	0.1302 	0.1575 	0.1413 	0.1350 
4161901,DP_ES,PPS,DE	0.1367 	0.1321 	0.1364 	0.1256 	0.1327 	0.1200 	0.1270 	0.1042 
4161901,DP_ES,PPS,DK	0.0370 	0.0382 	0.0418 	0.0526 	0.0466 	0.0358 	0.0607 	0.0322 
4161901,DP_ES,PPS,EE	0.0640 	0.0669 	0.0444 	0.0466 	0.0471 	0.0470 	0.0442 	0.0424 
4161901,DP_ES,PPS,EL	0.1341 	0.1195 	0.0914 	0.0866 	0.0549 	0.0591 	: 	: 
4161901,DP_ES,PPS,ES	0.2986 	0.2776 	0.1489 	0.1794 	0.1742 	0.1938 	0.1991 	: 
4161901,DP_ES,PPS,FI	0.0749 	0.0800 	0.0806 	0.0821 	0.0755 	0.0707 	0.0721 	0.0610 
4161901,DP_ES,PPS,FR	0.1108 	0.0833 	0.0770 	: 	: 	: 	: 	: 
4161901,DP_ES,PPS,HR	0.1474 	0.1772 	0.1541 	0.1253 	0.1055 	0.1074 	0.1387 	0.1352 
4161901,DP_ES,PPS,HU	0.0848 	0.1002 	0.1203 	: 	0.1294 	0.1371 	0.1140 	0.0792 
4161901,DP_ES,PPS,IE	0.2653 	0.2739 	0.2728 	0.2034 	: 	: 	: 	: 
4161901,DP_ES,PPS,IS	0.0276 	0.0269 	0.0270 	: 	: 	: 	: 	: 
4161901,DP_ES,PPS,IT	0.1309 	0.1294 	0.1242 	0.1041 	0.1194 	0.1274 	0.1240 	: 
4161901,DP_ES,PPS,LT	0.0820 	0.0785 	0.0815 	0.0807 	0.0781 	0.0600 	0.0603 	0.0540 
4161901,DP_ES,PPS,LU	0.0726 	0.0709 	0.0852 	0.0930 	0.0819 	0.1079 	0.0801 	0.0801 
4161901,DP_ES,PPS,LV	0.0194 	0.0187 	0.0333 	0.0599 	0.0751 	0.0723 	0.0689 	0.0538 
4161901,DP_ES,PPS,ME	0.1618 	0.1622 	0.1466 	0.0705 	: 	: 	: 	: 
4161901,DP_ES,PPS,MT	0.4097 	0.4931 	0.5147 	0.5147 	0.5118 	0.2667 	0.1376 	0.0000 
4161901,DP_ES,PPS,NL	0.1125 	0.1026 	0.1063 	0.1007 	0.0977 	0.1081 	0.1044 	0.1011 
4161901,DP_ES,PPS,NO	0.0549 	0.0592 	0.0503 	0.0573 	0.0637 	0.0546 	0.0657 	0.0437 
4161901,DP_ES,PPS,PL	0.1002 	0.1061 	0.1139 	0.1087 	0.1039 	0.0926 	0.0774 	0.0589 
4161901,DP_ES,PPS,PT	0.1306 	0.1061 	0.1428 	0.0930 	0.0960 	0.1795 	0.1490 	: 
4161901,DP_ES,PPS,RO	0.0818 	0.0805 	0.0605 	0.0706 	0.0690 	0.0625 	0.0664 	0.0636 
4161901,DP_ES,PPS,RS	0.0800 	0.0373 	: 	: 	: 	: 	: 	: 
4161901,DP_ES,PPS,SE	0.0421 	0.0479 	0.0505 	0.0579 	0.0592 	0.0537 	0.0636 	0.0456 
4161901,DP_ES,PPS,SI	0.0752 	0.0799 	0.0830 	0.0739 	0.0690 	0.0693 	0.0592 	: 
4161901,DP_ES,PPS,SK	0.1045 	0.1167 	0.1258 	0.1121 	0.1248 	0.1087 	0.1160 	0.1071 
4161901,DP_ES,PPS,TR	0.1340 	0.1387 	0.1389 	0.1178 	0.1437 	0.1408 	0.1399 	: 
4161901,DP_ES,PPS,UK	0.1568 	0.1538 	0.1329 	0.1205 	: 	0.1181 	0.1092 	: 
4161901,DP_NC,EUR,AT	0.1100 	0.1105 	0.1082 	0.1073 	0.1087 	0.1087 	0.1054 	: 
4161901,DP_NC,EUR,BA	: 	0.1199 	0.1161 	: 	: 	: 	: 	: 
4161901,DP_NC,EUR,BE	0.1148 	0.1091 	0.1076 	0.0992 	0.0880 	0.0837 	0.0817 	0.0662 
4161901,DP_NC,EUR,BG	0.0182 	0.0295 	0.0310 	0.0292 	0.0215 	0.0240 	0.0266 	0.0259 
4161901,DP_NC,EUR,CY	0.0377 	0.0374 	0.0374 	0.0364 	0.0355 	: 	: 	: 
4161901,DP_NC,EUR,CZ	0.1510 	0.1630 	0.1616 	0.1607 	0.1492 	0.1250 	0.1222 	0.1121 
4161901,DP_NC,EUR,DE	0.1152 	0.1214 	0.1137 	0.1159 	0.1143 	0.1122 	0.1089 	0.1246 
4161901,DP_NC,EUR,DK	0.1034 	0.0954 	0.0976 	0.0849 	0.0805 	0.0855 	0.0716 	0.0807 
4161901,DP_NC,EUR,EE	0.0545 	0.0553 	0.0315 	0.0461 	0.0415 	0.0389 	0.0374 	0.0384 
4161901,DP_NC,EUR,EL	0.0414 	0.0416 	0.0416 	0.0412 	0.0500 	0.0455 	: 	: 
4161901,DP_NC,EUR,ES	0.0996 	0.0664 	0.1582 	0.1370 	0.1339 	0.0783 	0.0787 	: 
4161901,DP_NC,EUR,FI	0.1290 	0.1246 	0.1230 	0.1167 	0.1112 	0.1083 	0.0923 	0.0889 
4161901,DP_NC,EUR,FR	0.1078 	0.1301 	0.1244 	: 	: 	: 	: 	: 
4161901,DP_NC,EUR,HR	0.0695 	0.0597 	0.0850 	0.0722 	0.0745 	0.0753 	0.0766 	0.0615 
4161901,DP_NC,EUR,HU	0.0568 	0.0579 	0.0657 	: 	0.0651 	0.0599 	0.0554 	0.0621 
4161901,DP_NC,EUR,IE	0.1967 	0.1996 	0.1781 	0.1731 	: 	: 	: 	: 
4161901,DP_NC,EUR,IS	0.2243 	0.2201 	0.1359 	: 	: 	: 	: 	: 
4161901,DP_NC,EUR,IT	0.0741 	0.0689 	0.0668 	0.0907 	0.0963 	0.0996 	0.1014 	: 
4161901,DP_NC,EUR,LI	0.0690 	: 	: 	: 	: 	: 	: 	: 
4161901,DP_NC,EUR,LT	0.0410 	0.0432 	0.0593 	0.0637 	0.0581 	0.0442 	0.0402 	0.0482 
4161901,DP_NC,EUR,LU	0.1150 	0.1137 	0.1153 	0.1112 	0.1150 	0.1107 	0.1260 	0.1254 
4161901,DP_NC,EUR,LV	0.0564 	0.0564 	0.0569 	0.0561 	0.0462 	0.0465 	0.0464 	0.0334 
4161901,DP_NC,EUR,ME	0.0787 	0.0792 	0.0728 	0.0516 	: 	: 	: 	: 
4161901,DP_NC,EUR,MT	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0000 
4161901,DP_NC,EUR,NL	0.1203 	0.1900 	0.1991 	0.2068 	0.1775 	0.1960 	0.1365 	0.1361 
4161901,DP_NC,EUR,NO	0.2310 	0.2432 	0.2674 	0.2600 	0.2493 	0.2153 	0.2085 	0.2186 
4161901,DP_NC,EUR,PL	0.0832 	0.0827 	0.0814 	0.0789 	0.0792 	0.0709 	0.0847 	0.0791 
4161901,DP_NC,EUR,PT	0.1176 	0.0979 	0.0857 	0.1183 	0.1299 	0.1362 	0.1597 	: 
4161901,DP_NC,EUR,RO	0.0526 	0.0526 	0.0484 	0.0491 	0.0496 	0.0493 	0.0548 	0.0558 
4161901,DP_NC,EUR,RS	0.1314 	0.1435 	: 	: 	: 	: 	: 	: 
4161901,DP_NC,EUR,SE	0.2007 	0.1848 	0.1881 	0.1671 	0.1620 	0.1326 	0.1392 	0.1511 
4161901,DP_NC,EUR,SI	0.0789 	0.0964 	0.1002 	0.1023 	0.1161 	0.1442 	0.1042 	: 
4161901,DP_NC,EUR,SK	0.1311 	0.1356 	0.1302 	0.1252 	0.1163 	0.1223 	0.1329 	0.1149 
4161901,DP_NC,EUR,TR	0.0300 	0.0294 	0.0341 	0.0288 	0.0195 	0.0150 	0.0141 	: 
4161901,DP_NC,EUR,UK	0.0526 	0.0446 	0.0404 	0.0365 	: 	0.0495 	0.0477 	: 
4161901,DP_NC,EUR,XK	0.0238 	0.0253 	: 	: 	: 	: 	: 	: 
4161901,DP_NC,NAT,AT	0.1100 	0.1105 	0.1082 	0.1073 	0.1087 	0.1087 	0.1054 	: 
4161901,DP_NC,NAT,BA	: 	0.2351 	0.2275 	: 	: 	: 	: 	: 
4161901,DP_NC,NAT,BE	0.1148 	0.1091 	0.1076 	0.0992 	0.0880 	0.0837 	0.0817 	0.0662 
4161901,DP_NC,NAT,BG	0.0355 	0.0577 	0.0606 	0.0572 	0.0421 	0.0470 	0.0520 	0.0506 
4161901,DP_NC,NAT,CY	0.0377 	0.0374 	0.0374 	0.0364 	0.0355 	: 	: 	: 
4161901,DP_NC,NAT,CZ	4.1700 	4.2800 	4.0600 	3.9900 	3.7100 	3.2200 	3.0200 	3.0700 
4161901,DP_NC,NAT,DE	0.1152 	0.1214 	0.1137 	0.1159 	0.1143 	0.1122 	0.1089 	0.1246 
4161901,DP_NC,NAT,DK	0.7697 	0.7114 	0.7272 	0.6324 	0.6000 	0.6365 	0.5337 	0.6015 
4161901,DP_NC,NAT,EE	0.0545 	0.0553 	0.0315 	0.0461 	0.6500 	0.6080 	0.5850 	0.6010 
4161901,DP_NC,NAT,EL	0.0414 	0.0416 	0.0416 	0.0412 	0.0500 	0.0455 	: 	: 
4161901,DP_NC,NAT,ES	0.0996 	0.0664 	0.1582 	0.1370 	0.1339 	0.0783 	0.0787 	: 
4161901,DP_NC,NAT,FI	0.1290 	0.1246 	0.1230 	0.1167 	0.1112 	0.1083 	0.0923 	0.0889 
4161901,DP_NC,NAT,FR	0.1078 	0.1301 	0.1244 	: 	: 	: 	: 	: 
4161901,DP_NC,NAT,HR	0.5316 	0.4529 	0.6379 	0.5400 	0.5450 	0.5500 	0.5500 	0.4500 
